id,is_correct,avg_sim
19,True,0.6183029413223267
67,False,0.5639487107594808
82,True,0.3655221462249756
48,True,0.46231383085250854
97,True,0.5523134469985962
99,True,0.658292293548584
5,True,0.47265467047691345
7,True,0.5154755711555481
11,True,0.5547428131103516
44,False,0.4114098648230235
61,True,0.503656655550003
27,True,0.4468890130519867
26,True,0.5991858243942261
41,True,0.40286052227020264
21,True,0.6174238920211792
50,True,0.46956315636634827
29,False,0.48093321919441223
10,True,0.6914316415786743
68,True,0.6053410172462463
80,True,0.5488339066505432
20,True,0.5095704793930054
9,True,0.4411802887916565
40,True,0.5726819038391113
73,True,0.560948371887207
57,True,0.5457660555839539
75,True,0.5028127133846283
89,True,0.48656415939331055
74,True,0.5241884688536326
6,True,0.636451244354248
64,True,0.49068713188171387
28,True,0.500686764717102
84,True,0.431763619184494
62,False,0.49211058020591736
35,True,0.44734686613082886
95,True,0.4805183410644531
83,True,0.5290506482124329
94,True,0.555505633354187
53,False,0.4588433305422465
46,True,0.46710634231567383
87,True,0.4427405893802643
70,True,0.5849719047546387
59,True,0.5100932717323303
51,False,0.43898214896519977
92,True,0.41495198011398315
47,True,0.491636723279953
22,True,0.551173210144043
43,True,0.5689318180084229
91,True,0.6446325778961182
33,True,0.5145745873451233
54,True,0.5528540015220642
